# Scales historical SSP GDP data to GCAM3 GDP data.
# Calculates future GDP based on ratio of GCAM3 future to 2010 value.
iso,year,value
kgz,1987,2581.157680350796
lao,1987,1087.0091117078864
lva,1987,17176.953075024252
lbn,1987,14431.151002421135
lso,1987,592.0636578277629
lbr,1987,1609.9547252073185
lby,1987,26060.05318693354
ltu,1987,20676.945037412097
lux,1987,13239.293040892993
mac,1987,3995.871143866539
mkd,1987,4741.454738658785
mdg,1987,3394.4660257322294
mwi,1987,1862.3006396383453
mys,1987,41287.43032167069
mdv,1987,488.3651030699656
mli,1987,2463.8377146147045
mlt,1987,2253.845582728741
mrt,1987,1300.8386906283079
mus,1987,2165.7497593915787
mex,1987,304765.1461787879
mda,1987,6305.281933199385
mng,1987,2393.6927569459103
mar,1987,23942.903542192824
moz,1987,1298.1029825914777
nam,1987,3125.366924516997
npl,1987,3823.264197527132
nld,1987,311002.34778384323
nzl,1987,52847.489655987585
nic,1987,3618.6937824325973
ner,1987,1898.1754766701767
nga,1987,66901.65206637852
nor,1987,164153.645302292
omn,1987,15063.965658588233
pak,1987,43924.90625839845
pan,1987,6961.709804247439
png,1987,4311.387641721075
pry,1987,6301.3398952956695
per,1987,51140.42262960779
phl,1987,53374.86455944666
pol,1987,162112.38207270228
prt,1987,92403.24948781377
pri,1987,37650.456017958226
zaf,1987,138267.45701182162
rom,1987,92657.31151406032
rus,1987,888353.5359117573
rwa,1987,1685.85530292871
wsm,1987,262.1488110578042
stp,1987,65.39955919092874
sau,1987,149566.4912947017
sen,1987,4104.090954586113
srb,1987,24005.764753043244
sle,1987,1223.2872357284652
sgp,1987,33089.85718899961
svk,1987,33569.61811661404
svn,1987,14932.129477760443
slb,1987,247.64325697965833
kor,1987,182012.1795743333
esp,1987,503783.6551740181
lka,1987,12190.591553305734
lca,1987,434.41373485166105
vct,1987,206.29114397790966
sdn,1987,12738.734811744203
sur,1987,1375.8202877938866
swz,1987,1061.3854754655947
swe,1987,199667.83662531388
che,1987,255163.7110848114
syr,1987,13449.149600915913
twn,1987,82856.40242318687
tjk,1987,4206.707548733038
tza,1987,6982.312706048843
tha,1987,66116.34984144298
tgo,1987,1230.3408785444915
ton,1987,167.51250702979615
tto,1987,5450.688986652612
tun,1987,11006.11688954545
tur,1987,214910.24709532008
tkm,1987,6270.659822322126
uga,1987,2641.1770242467865
ukr,1987,136043.4181228895
are,1987,64089.46067416048
gbr,1987,991705.2261068353
usa,1987,5430399.278923682
ury,1987,13710.869178366049
uzb,1987,11728.634597488364
vut,1987,222.53734319833825
ven,1987,112306.99277166593
vnm,1987,16380.451389712016
yem,1987,7012.46557636676
zmb,1987,5285.336685552908
afg,1988,4367.3905554628955
alb,1988,4251.921132166971
dza,1988,57664.51594872526
ago,1988,17076.64564942067
arg,1988,143004.52524112782
arm,1988,4193.226863001728
aus,1988,391222.96280175063
aut,1988,158340.7594910374
aze,1988,17445.230551233533
bhs,1988,4777.777662820185
bhr,1988,5597.708235203872
bgd,1988,25591.105492963812
brb,1988,2405.6118208948433
blr,1988,19613.991573637184
bel,1988,203976.32122508564
blz,1988,281.7441451584651
ben,1988,1890.3261604770153
btn,1988,234.8291778212031
bol,1988,5656.620493433408
bih,1988,1240.633836124885
bwa,1988,2906.515588658875
bra,1988,786308.5537659477
brn,1988,6328.3975219696495
bgr,1988,27239.302417008526
bfa,1988,1954.1033681715746
mmr,1988,4147.460915574445
bdi,1988,1120.9984111811775
khm,1988,2714.1553608270997
cmr,1988,11314.36961753065
can,1988,652761.0931127572
cpv,1988,199.5266784333883
caf,1988,910.8707047934715
tcd,1988,2021.976432253455
chl,1988,45741.5098391884
chn,1988,505508.1763991237
col,1988,89057.21092583651
cod,1988,17378.755698110963
cog,1988,4215.018164033955
cri,1988,9188.664629803201
civ,1988,11509.116082459168
hrv,1988,29152.185828242364
cub,1988,30191.134767605632
cyp,1988,6979.922068917418
cze,1988,93850.4767674504
dnk,1988,147996.84317620553
dji,1988,404.56881220804956
dom,1988,12685.807328956442
ecu,1988,23950.324586584993
egy,1988,52213.104734971486
slv,1988,7069.55151411614
gnq,1988,147.38491188282075
eri,1988,600.8306174147756
est,1988,10540.184551873424
eth,1988,5745.241470474516
fji,1988,1237.4117428455654
fin,1988,104203.2509391974
fra,1988,1169690.58352906
gab,1988,6115.984239008631
gmb,1988,284.20351452572095
geo,1988,14119.337478757174
deu,1988,1549489.4941990986
gha,1988,7319.294619368807
grc,1988,125614.10320399817
gtm,1988,12240.6162995739
gin,1988,2092.543211417532
gnb,1988,363.8197856383753
guy,1988,787.5941950824729
hti,1988,4467.6866570791835
hnd,1988,4832.351855617124
hkg,1988,64674.17063517332
hun,1988,65346.42327711304
isl,1988,5151.327859296687
ind,1988,274268.4878261447
idn,1988,177354.7523025113
irn,1988,128515.55348856955
irq,1988,30746.243590984577
irl,1988,47897.04056422085
isr,1988,60519.36636979205
ita,1988,1094343.288069126
jam,1988,6122.720807541695
jpn,1988,2821013.114095682
jor,1988,6559.130017489976
kaz,1988,60726.365486605835
ken,1988,13162.863059838961
kwt,1988,28879.303224285868
kgz,1988,2921.871352795833
